province,census_division,census_subdivision,land_area_km2,population_2006,population_2011,population_2016,population_2021
Newfoundland and Labrador,Division No.  1,Admirals Beach,24.2,185.0,153.0,135.0,97.0
Newfoundland and Labrador,Division No.  1,Aquaforte,6.88,103.0,83.0,80.0,74.0
Newfoundland and Labrador,Division No.  1,Arnold's Cove,5.25,1003.0,990.0,949.0,964.0
Newfoundland and Labrador,Division No.  1,Avondale,29.69,667.0,636.0,641.0,584.0
Newfoundland and Labrador,Division No.  1,Bauline,16.05,379.0,397.0,452.0,412.0
Newfoundland and Labrador,Division No.  1,Bay Bulls,30.6,1078.0,1283.0,1500.0,1566.0
Newfoundland and Labrador,Division No.  1,Bay Roberts,24.51,5414.0,5818.0,6012.0,5974.0
Newfoundland and Labrador,Division No.  1,Bay de Verde,13.24,470.0,398.0,392.0,347.0
Newfoundland and Labrador,Division No.  1,Bishop's Cove,1.9,329.0,275.0,287.0,252.0
Newfoundland and Labrador,Division No.  1,Branch,16.18,309.0,247.0,228.0,177.0
Newfoundland and Labrador,Division No.  1,Brigus,11.48,794.0,750.0,723.0,699.0
Newfoundland and Labrador,Division No.  1,Bryant's Cove,4.9,417.0,396.0,395.0,343.0
Newfoundland and Labrador,Division No.  1,Cape Broyle,10.09,545.0,506.0,489.0,499.0
Newfoundland and Labrador,Division No.  1,Carbonear,12.44,4723.0,4739.0,4858.0,4696.0
Newfoundland and Labrador,Division No.  1,Chance Cove,18.14,310.0,282.0,256.0,213.0
Newfoundland and Labrador,Division No.  1,Chapel Arm,28.08,451.0,468.0,457.0,446.0
Newfoundland and Labrador,Division No.  1,Clarke's Beach,12.64,1289.0,1396.0,1558.0,1400.0
Newfoundland and Labrador,Division No.  1,Colinet,6.01,165.0,110.0,80.0,103.0
Newfoundland and Labrador,Division No.  1,Colliers,26.24,722.0,651.0,654.0,613.0
Newfoundland and Labrador,Division No.  1,Come By Chance,39.55,260.0,247.0,228.0,208.0
Newfoundland and Labrador,Division No.  1,Conception Bay South,59.72,21966.0,24848.0,26199.0,27168.0
Newfoundland and Labrador,Division No.  1,Conception Harbour,21.47,743.0,697.0,685.0,624.0
Newfoundland and Labrador,Division No.  1,Cupids,10.86,790.0,761.0,743.0,699.0
Newfoundland and Labrador,Division No.  1,"Division No.  1, Subd. A",772.38,898.0,757.0,666.0,653.0
Newfoundland and Labrador,Division No.  1,"Division No.  1, Subd. B",454.34,478.0,344.0,360.0,356.0
Newfoundland and Labrador,Division No.  1,"Division No.  1, Subd. C",815.64,185.0,131.0,100.0,106.0
Newfoundland and Labrador,Division No.  1,"Division No.  1, Subd. D",298.06,130.0,115.0,88.0,119.0
Newfoundland and Labrador,Division No.  1,"Division No.  1, Subd. E",218.85,3007.0,2971.0,2943.0,2835.0
Newfoundland and Labrador,Division No.  1,"Division No.  1, Subd. F",173.02,582.0,546.0,548.0,539.0
Newfoundland and Labrador,Division No.  1,"Division No.  1, Subd. G",302.69,2218.0,2017.0,1866.0,1673.0
Newfoundland and Labrador,Division No.  1,"Division No.  1, Subd. H",57.2,423.0,408.0,390.0,328.0
Newfoundland and Labrador,Division No.  1,"Division No.  1, Subd. I",64.11,213.0,271.0,299.0,320.0
Newfoundland and Labrador,Division No.  1,"Division No.  1, Subd. J",0.45,0.0,0.0,0.0,0.0
Newfoundland and Labrador,Division No.  1,"Division No.  1, Subd. K",37.13,32.0,46.0,28.0,35.0
Newfoundland and Labrador,Division No.  1,"Division No.  1, Subd. L",8.1,973.0,956.0,928.0,874.0
Newfoundland and Labrador,Division No.  1,"Division No.  1, Subd. M",139.98,920.0,1087.0,1073.0,1145.0
Newfoundland and Labrador,Division No.  1,"Division No.  1, Subd. N",12.85,370.0,317.0,372.0,356.0
Newfoundland and Labrador,Division No.  1,"Division No.  1, Subd. O",78.38,792.0,724.0,663.0,829.0
Newfoundland and Labrador,Division No.  1,"Division No.  1, Subd. R",16.82,366.0,344.0,322.0,264.0
Newfoundland and Labrador,Division No.  1,"Division No.  1, Subd. U",742.38,1620.0,1489.0,1625.0,1373.0
Newfoundland and Labrador,Division No.  1,"Division No.  1, Subd. V",870.89,65.0,62.0,36.0,55.0
Newfoundland and Labrador,Division No.  1,"Division No.  1, Subd. W",821.97,561.0,511.0,435.0,469.0
Newfoundland and Labrador,Division No.  1,"Division No.  1, Subd. X",567.62,510.0,506.0,513.0,541.0
Newfoundland and Labrador,Division No.  1,"Division No.  1, Subd. Y",190.76,1187.0,1175.0,1118.0,1211.0
Newfoundland and Labrador,Division No.  1,Fermeuse,38.33,284.0,323.0,325.0,266.0
Newfoundland and Labrador,Division No.  1,Ferryland,13.22,529.0,465.0,414.0,371.0
Newfoundland and Labrador,Division No.  1,Flatrock,18.1,1214.0,1457.0,1683.0,1722.0
Newfoundland and Labrador,Division No.  1,Fox Harbour,19.81,314.0,270.0,252.0,226.0
Newfoundland and Labrador,Division No.  1,Gaskiers-Point La Haye,23.29,302.0,233.0,232.0,189.0
Newfoundland and Labrador,Division No.  1,Hant's Harbour,31.86,401.0,346.0,329.0,318.0
Newfoundland and Labrador,Division No.  1,Harbour Grace,33.71,3074.0,3131.0,2995.0,2796.0
Newfoundland and Labrador,Division No.  1,Harbour Main-Chapel's Cove-Lakeview,21.19,1090.0,1083.0,1067.0,1065.0
Newfoundland and Labrador,Division No.  1,Heart's Content,62.87,418.0,375.0,340.0,330.0
Newfoundland and Labrador,Division No.  1,Heart's Delight-Islington,26.95,663.0,704.0,674.0,646.0
Newfoundland and Labrador,Division No.  1,Heart's Desire,17.02,226.0,223.0,213.0,184.0
Newfoundland and Labrador,Division No.  1,Holyrood,126.02,2005.0,1995.0,2463.0,2471.0
Newfoundland and Labrador,Division No.  1,Logy Bay-Middle Cove-Outer Cove,16.99,1978.0,2098.0,2221.0,2364.0
Newfoundland and Labrador,Division No.  1,Long Harbour-Mount Arlington Heights,18.33,211.0,298.0,250.0,185.0
Newfoundland and Labrador,Division No.  1,Mount Carmel-Mitchells Brook-St. Catherine's,60.76,438.0,358.0,349.0,382.0
Newfoundland and Labrador,Division No.  1,Mount Pearl,15.65,24671.0,24284.0,23120.0,22477.0
Newfoundland and Labrador,Division No.  1,New Perlican,24.45,188.0,210.0,186.0,200.0
Newfoundland and Labrador,Division No.  1,Norman's Cove-Long Cove,20.15,773.0,720.0,666.0,647.0
Newfoundland and Labrador,Division No.  1,North River,4.2,557.0,562.0,570.0,579.0
Newfoundland and Labrador,Division No.  1,Old Perlican,14.14,676.0,661.0,633.0,608.0
Newfoundland and Labrador,Division No.  1,Paradise,29.67,12584.0,17695.0,21389.0,22957.0
Newfoundland and Labrador,Division No.  1,Petty Harbour-Maddox Cove,4.4,915.0,924.0,960.0,947.0
Newfoundland and Labrador,Division No.  1,Placentia,57.8,3898.0,3643.0,3496.0,3289.0
Newfoundland and Labrador,Division No.  1,Point Lance,28.29,119.0,120.0,102.0,87.0
Newfoundland and Labrador,Division No.  1,Port Kirwan,8.84,85.0,65.0,52.0,49.0
Newfoundland and Labrador,Division No.  1,Portugal Cove South,1.08,222.0,160.0,150.0,86.0
Newfoundland and Labrador,Division No.  1,Portugal Cove-St. Philip's,57.61,6575.0,7366.0,8147.0,8415.0
Newfoundland and Labrador,Division No.  1,Pouch Cove,58.24,1756.0,1866.0,2069.0,2063.0
Newfoundland and Labrador,Division No.  1,Renews-Cappahayden,125.93,421.0,310.0,301.0,280.0
Newfoundland and Labrador,Division No.  1,Riverhead,101.84,220.0,212.0,185.0,165.0
Newfoundland and Labrador,Division No.  1,Salmon Cove,4.21,707.0,695.0,680.0,764.0
Newfoundland and Labrador,Division No.  1,Small Point-Adam's Cove-Blackhead-Broad Cove,23.12,438.0,389.0,387.0,414.0
Newfoundland and Labrador,Division No.  1,South River,5.97,649.0,655.0,647.0,674.0
Newfoundland and Labrador,Division No.  1,Southern Harbour,5.39,474.0,534.0,395.0,313.0
Newfoundland and Labrador,Division No.  1,Spaniard's Bay,66.09,2540.0,2622.0,2653.0,2630.0
Newfoundland and Labrador,Division No.  1,St. Bride's,5.38,386.0,308.0,252.0,318.0
Newfoundland and Labrador,Division No.  1,St. John's,446.02,100646.0,106172.0,108860.0,110525.0
Newfoundland and Labrador,Division No.  1,St. Joseph's,29.22,144.0,115.0,115.0,86.0
Newfoundland and Labrador,Division No.  1,St. Mary's,36.41,482.0,439.0,347.0,313.0
Newfoundland and Labrador,Division No.  1,St. Shott's,1.07,109.0,81.0,66.0,55.0
Newfoundland and Labrador,Division No.  1,St. Vincent's-St. Stephen's-Peter's River,86.62,363.0,340.0,313.0,263.0
Newfoundland and Labrador,Division No.  1,Sunnyside,39.02,470.0,452.0,396.0,407.0
Newfoundland and Labrador,Division No.  1,Torbay,34.89,6281.0,7397.0,7899.0,7852.0
Newfoundland and Labrador,Division No.  1,Trepassey,54.21,763.0,570.0,481.0,405.0
Newfoundland and Labrador,Division No.  1,Upper Island Cove,7.82,1667.0,1594.0,1561.0,1401.0
Newfoundland and Labrador,Division No.  1,Victoria,17.96,1769.0,1764.0,1800.0,1658.0
Newfoundland and Labrador,Division No.  1,Wabana,14.49,2418.0,2346.0,2146.0,1815.0
Newfoundland and Labrador,Division No.  1,Whitbourne,21.51,855.0,916.0,890.0,955.0
Newfoundland and Labrador,Division No.  1,Whiteway,22.53,220.0,293.0,373.0,351.0
Newfoundland and Labrador,Division No.  1,Winterton,10.61,518.0,484.0,450.0,436.0
Newfoundland and Labrador,Division No.  1,Witless Bay,17.61,1070.0,1179.0,1619.0,1640.0
Newfoundland and Labrador,Division No.  2,Baine Harbour,4.15,134.0,137.0,124.0,126.0
Newfoundland and Labrador,Division No.  2,Bay L'Argent,3.74,287.0,285.0,241.0,234.0
Newfoundland and Labrador,Division No.  2,Burin,34.49,2483.0,2424.0,2315.0,2237.0
Newfoundland and Labrador,Division No.  2,"Division No.  2, Subd. C",1463.65,689.0,596.0,566.0,538.0
Newfoundland and Labrador,Division No.  2,"Division No.  2, Subd. D",33.17,277.0,260.0,226.0,204.0
Newfoundland and Labrador,Division No.  2,"Division No.  2, Subd. E",136.58,285.0,269.0,246.0,251.0
Newfoundland and Labrador,Division No.  2,"Division No.  2, Subd. F",198.89,132.0,130.0,117.0,99.0
Newfoundland and Labrador,Division No.  2,"Division No.  2, Subd. G",366.98,10.0,10.0,10.0,25.0
Newfoundland and Labrador,Division No.  2,"Division No.  2, Subd. H",269.35,223.0,139.0,178.0,196.0
Newfoundland and Labrador,Division No.  2,"Division No.  2, Subd. I",491.98,201.0,136.0,136.0,123.0
Newfoundland and Labrador,Division No.  2,"Division No.  2, Subd. J",267.48,0.0,0.0,0.0,0.0
Newfoundland and Labrador,Division No.  2,"Division No.  2, Subd. K",1027.96,671.0,595.0,558.0,502.0
Newfoundland and Labrador,Division No.  2,"Division No.  2, Subd. L",873.62,42.0,15.0,0.0,32.0
Newfoundland and Labrador,Division No.  2,English Harbour East,2.81,169.0,147.0,139.0,117.0
Newfoundland and Labrador,Division No.  2,Fortune,54.77,1458.0,1442.0,1401.0,1285.0
Newfoundland and Labrador,Division No.  2,Fox Cove-Mortier,25.39,351.0,333.0,295.0,252.0
Newfoundland and Labrador,Division No.  2,Frenchman's Cove,69.07,166.0,172.0,169.0,159.0
Newfoundland and Labrador,Division No.  2,Garnish,39.1,578.0,545.0,568.0,542.0
Newfoundland and Labrador,Division No.  2,Grand Bank,16.82,2580.0,2415.0,2310.0,2152.0
Newfoundland and Labrador,Division No.  2,Grand Le Pierre,142.81,264.0,260.0,235.0,176.0
Newfoundland and Labrador,Division No.  2,Lamaline,79.75,315.0,286.0,267.0,218.0
Newfoundland and Labrador,Division No.  2,Lawn,3.52,705.0,672.0,624.0,583.0
Newfoundland and Labrador,Division No.  2,Lewin's Cove,6.33,566.0,555.0,544.0,546.0
Newfoundland and Labrador,Division No.  2,Little Bay East,1.56,140.0,130.0,127.0,84.0
Newfoundland and Labrador,Division No.  2,Lord's Cove,29.91,207.0,175.0,162.0,155.0
Newfoundland and Labrador,Division No.  2,Marystown,62.23,5436.0,5506.0,5316.0,5204.0
Newfoundland and Labrador,Division No.  2,Parkers Cove,4.77,308.0,301.0,248.0,233.0
Newfoundland and Labrador,Division No.  2,Point May,63.25,260.0,233.0,231.0,254.0
Newfoundland and Labrador,Division No.  2,Point au Gaul,3.89,85.0,97.0,88.0,67.0
Newfoundland and Labrador,Division No.  2,Red Harbour,11.19,210.0,191.0,189.0,177.0
Newfoundland and Labrador,Division No.  2,Rushoon,5.89,319.0,288.0,245.0,229.0
Newfoundland and Labrador,Division No.  2,St. Bernard's-Jacques Fontaine,16.08,525.0,470.0,433.0,433.0
Newfoundland and Labrador,Division No.  2,St. Lawrence,34.86,1349.0,1244.0,1192.0,1115.0
Newfoundland and Labrador,Division No.  2,Terrenceville,15.12,536.0,530.0,482.0,446.0
Newfoundland and Labrador,Division No.  2,Winterland,54.44,337.0,363.0,390.0,398.0
Newfoundland and Labrador,Division No.  3,Belleoram,2.2,421.0,409.0,374.0,348.0
Newfoundland and Labrador,Division No.  3,Burgeo,29.51,1607.0,1464.0,1307.0,1176.0
Newfoundland and Labrador,Division No.  3,Burnt Islands,9.48,703.0,651.0,622.0,540.0
Newfoundland and Labrador,Division No.  3,Channel-Port aux Basques,38.84,4319.0,4170.0,4067.0,3547.0
Newfoundland and Labrador,Division No.  3,"Division No.  3, Subd. A",2940.14,0.0,5.0,24.0,45.0
Newfoundland and Labrador,Division No.  3,"Division No.  3, Subd. B",253.36,0.0,5.0,0.0,0.0
Newfoundland and Labrador,Division No.  3,"Division No.  3, Subd. C",711.65,10.0,0.0,0.0,146.0
Newfoundland and Labrador,Division No.  3,"Division No.  3, Subd. D",6611.07,379.0,265.0,262.0,188.0
Newfoundland and Labrador,Division No.  3,"Division No.  3, Subd. E",2468.1,134.0,114.0,89.0,74.0
Newfoundland and Labrador,Division No.  3,"Division No.  3, Subd. F",2548.59,163.0,385.0,119.0,115.0
Newfoundland and Labrador,Division No.  3,"Division No.  3, Subd. H",665.06,728.0,727.0,707.0,562.0
Newfoundland and Labrador,Division No.  3,"Division No.  3, Subd. I",2121.16,151.0,103.0,87.0,61.0
Newfoundland and Labrador,Division No.  3,"Division No.  3, Subd. J",646.31,71.0,388.0,51.0,38.0
Newfoundland and Labrador,Division No.  3,Gaultois,4.23,265.0,179.0,136.0,100.0
Newfoundland and Labrador,Division No.  3,Harbour Breton,13.82,1877.0,1711.0,1634.0,1477.0
Newfoundland and Labrador,Division No.  3,Hermitage-Sandyville,29.14,499.0,450.0,422.0,404.0
Newfoundland and Labrador,Division No.  3,Isle aux Morts,7.75,718.0,619.0,664.0,559.0
Newfoundland and Labrador,Division No.  3,Milltown-Head of Bay d'Espoir,24.95,865.0,789.0,749.0,669.0
Newfoundland and Labrador,Division No.  3,Morrisville,14.09,128.0,117.0,101.0,93.0
Newfoundland and Labrador,Division No.  3,Pool's Cove,2.65,189.0,182.0,193.0,143.0
Newfoundland and Labrador,Division No.  3,Ramea,1.86,618.0,280.0,447.0,388.0
Newfoundland and Labrador,Division No.  3,Rencontre East,2.56,165.0,141.0,139.0,115.0
Newfoundland and Labrador,Division No.  3,Rose Blanche-Harbour le Cou,4.49,547.0,118.0,394.0,344.0
Newfoundland and Labrador,Division No.  3,Samiajij Miawpukek,16.7,867.0,920.0,956.0,953.0
Newfoundland and Labrador,Division No.  3,Seal Cove (Fortune Bay),2.03,315.0,263.0,242.0,100.0
Newfoundland and Labrador,Division No.  3,St. Alban's,20.48,1278.0,1233.0,1186.0,1189.0
Newfoundland and Labrador,Division No.  3,St. Jacques-Coomb's Cove,81.89,669.0,618.0,588.0,546.0
Newfoundland and Labrador,Division No.  4,Cape St. George,34.47,893.0,949.0,853.0,809.0
Newfoundland and Labrador,Division No.  4,"Division No.  4, Subd. A",1204.46,1883.0,1810.0,1743.0,1530.0
Newfoundland and Labrador,Division No.  4,"Division No.  4, Subd. B",1809.34,1399.0,1298.0,1174.0,1140.0
Newfoundland and Labrador,Division No.  4,"Division No.  4, Subd. C",2365.45,845.0,728.0,747.0,591.0
Newfoundland and Labrador,Division No.  4,"Division No.  4, Subd. D",1148.81,922.0,830.0,860.0,1212.0
Newfoundland and Labrador,Division No.  4,"Division No.  4, Subd. E",295.42,2095.0,1973.0,1957.0,1467.0
Newfoundland and Labrador,Division No.  4,Gallants,6.33,54.0,59.0,50.0,50.0
Newfoundland and Labrador,Division No.  4,Kippens,14.24,1739.0,1815.0,2008.0,1842.0
Newfoundland and Labrador,Division No.  4,Lourdes,7.39,550.0,532.0,465.0,502.0
Newfoundland and Labrador,Division No.  4,Port au Port East,25.06,608.0,598.0,579.0,413.0
Newfoundland and Labrador,Division No.  4,Port au Port West-Aguathuna-Felix Cove,16.97,386.0,447.0,449.0,384.0
Newfoundland and Labrador,Division No.  4,St. George's,25.71,1246.0,1207.0,1203.0,1139.0
Newfoundland and Labrador,Division No.  4,Stephenville,35.27,6588.0,6719.0,6623.0,6540.0
Newfoundland and Labrador,Division No.  4,Stephenville Crossing,31.07,1960.0,1875.0,1719.0,1634.0
Newfoundland and Labrador,Division No.  5,Cormack,133.65,657.0,605.0,597.0,492.0
Newfoundland and Labrador,Division No.  5,Corner Brook,147.88,20083.0,19886.0,19806.0,19333.0
Newfoundland and Labrador,Division No.  5,Cox's Cove,7.23,646.0,660.0,688.0,664.0
Newfoundland and Labrador,Division No.  5,Deer Lake,73.26,4827.0,4995.0,5249.0,4864.0
Newfoundland and Labrador,Division No.  5,"Division No.  5, Subd. A",2412.93,223.0,232.0,276.0,291.0
Newfoundland and Labrador,Division No.  5,"Division No.  5, Subd. C",483.5,74.0,101.0,276.0,285.0
Newfoundland and Labrador,Division No.  5,"Division No.  5, Subd. D",1320.15,5.0,5.0,34.0,30.0
Newfoundland and Labrador,Division No.  5,"Division No.  5, Subd. E",1167.5,186.0,187.0,216.0,188.0
Newfoundland and Labrador,Division No.  5,"Division No.  5, Subd. F",823.72,483.0,632.0,823.0,746.0
Newfoundland and Labrador,Division No.  5,"Division No.  5, Subd. G",3409.22,607.0,470.0,468.0,414.0
Newfoundland and Labrador,Division No.  5,Gillams,6.72,402.0,407.0,410.0,506.0
Newfoundland and Labrador,Division No.  5,Hampden,32.99,489.0,457.0,429.0,439.0
Newfoundland and Labrador,Division No.  5,Howley,19.91,241.0,221.0,205.0,179.0
Newfoundland and Labrador,Division No.  5,Hughes Brook,1.56,197.0,231.0,255.0,236.0
Newfoundland and Labrador,Division No.  5,Humber Arm South,65.14,1854.0,1681.0,1599.0,1537.0
Newfoundland and Labrador,Division No.  5,Irishtown-Summerside,11.88,1290.0,1428.0,1418.0,1260.0
Newfoundland and Labrador,Division No.  5,Jackson's Arm,7.07,374.0,323.0,284.0,277.0
Newfoundland and Labrador,Division No.  5,Lark Harbour,12.94,565.0,510.0,522.0,508.0
Newfoundland and Labrador,Division No.  5,Massey Drive,2.45,1170.0,1412.0,1632.0,1606.0
Newfoundland and Labrador,Division No.  5,McIvers,11.97,571.0,546.0,538.0,575.0
Newfoundland and Labrador,Division No.  5,Meadows,3.82,637.0,649.0,626.0,404.0
Newfoundland and Labrador,Division No.  5,Mount Moriah,15.71,752.0,785.0,746.0,700.0
Newfoundland and Labrador,Division No.  5,Pasadena,49.17,3180.0,3352.0,3620.0,3524.0
Newfoundland and Labrador,Division No.  5,Reidville,58.28,511.0,474.0,509.0,550.0
Newfoundland and Labrador,Division No.  5,Steady Brook,1.24,435.0,408.0,444.0,416.0
Newfoundland and Labrador,Division No.  5,York Harbour,13.88,346.0,347.0,344.0,372.0
Newfoundland and Labrador,Division No.  6,Appleton,6.33,582.0,622.0,574.0,620.0
Newfoundland and Labrador,Division No.  6,Badger,1.89,813.0,793.0,704.0,682.0
Newfoundland and Labrador,Division No.  6,Bishop's Falls,26.38,3399.0,3341.0,3156.0,3082.0
Newfoundland and Labrador,Division No.  6,Botwood,14.56,3052.0,3008.0,2875.0,2778.0
Newfoundland and Labrador,Division No.  6,Buchans,4.63,761.0,696.0,642.0,590.0
Newfoundland and Labrador,Division No.  6,"Division No.  6, Subd. A",5264.73,115.0,94.0,128.0,101.0
Newfoundland and Labrador,Division No.  6,"Division No.  6, Subd. C",4007.24,399.0,452.0,681.0,354.0
Newfoundland and Labrador,Division No.  6,"Division No.  6, Subd. D",4180.74,287.0,295.0,563.0,596.0
Newfoundland and Labrador,Division No.  6,"Division No.  6, Subd. E",2294.74,326.0,216.0,194.0,175.0
Newfoundland and Labrador,Division No.  6,Gander,104.53,9951.0,11054.0,11688.0,11880.0
Newfoundland and Labrador,Division No.  6,Glenwood,7.08,762.0,791.0,778.0,739.0
Newfoundland and Labrador,Division No.  6,Grand Falls-Windsor,54.84,13558.0,13725.0,14171.0,13853.0
Newfoundland and Labrador,Division No.  6,Millertown,3.08,100.0,99.0,81.0,87.0
Newfoundland and Labrador,Division No.  6,Norris Arm,41.35,911.0,912.0,737.0,708.0
Newfoundland and Labrador,Division No.  6,Northern Arm,24.94,385.0,397.0,426.0,371.0
Newfoundland and Labrador,Division No.  6,Peterview,6.34,807.0,809.0,828.0,723.0
Newfoundland and Labrador,Division No.  7,Bonavista,31.56,3764.0,3589.0,3448.0,3190.0
Newfoundland and Labrador,Division No.  7,Centreville-Wareham-Trinity,37.04,1122.0,1161.0,1147.0,1116.0
Newfoundland and Labrador,Division No.  7,Clarenville,139.91,5274.0,6036.0,6291.0,6704.0
Newfoundland and Labrador,Division No.  7,"Division No.  7, Subd. A",287.64,172.0,144.0,143.0,140.0
Newfoundland and Labrador,Division No.  7,"Division No.  7, Subd. B",858.94,15.0,25.0,10.0,57.0
Newfoundland and Labrador,Division No.  7,"Division No.  7, Subd. D",2457.85,397.0,232.0,230.0,259.0
Newfoundland and Labrador,Division No.  7,"Division No.  7, Subd. E",1631.51,2765.0,2714.0,2649.0,2573.0
Newfoundland and Labrador,Division No.  7,"Division No.  7, Subd. F",296.95,1067.0,971.0,846.0,831.0
Newfoundland and Labrador,Division No.  7,"Division No.  7, Subd. G",144.35,436.0,398.0,343.0,316.0
Newfoundland and Labrador,Division No.  7,"Division No.  7, Subd. I",170.8,121.0,102.0,71.0,80.0
Newfoundland and Labrador,Division No.  7,"Division No.  7, Subd. J",272.61,640.0,498.0,459.0,577.0
Newfoundland and Labrador,Division No.  7,"Division No.  7, Subd. K",484.96,1168.0,1225.0,1275.0,1153.0
Newfoundland and Labrador,Division No.  7,"Division No.  7, Subd. L",242.89,1371.0,1272.0,1232.0,1183.0
Newfoundland and Labrador,Division No.  7,"Division No.  7, Subd. M",450.25,2145.0,2055.0,1966.0,1856.0
Newfoundland and Labrador,Division No.  7,"Division No.  7, Subd. N",1402.03,80.0,58.0,49.0,55.0
Newfoundland and Labrador,Division No.  7,Dover,11.12,688.0,673.0,662.0,579.0
Newfoundland and Labrador,Division No.  7,Duntara,17.64,72.0,46.0,30.0,36.0
Newfoundland and Labrador,Division No.  7,Eastport,18.48,499.0,482.0,501.0,527.0
Newfoundland and Labrador,Division No.  7,Elliston,10.07,306.0,337.0,308.0,315.0
Newfoundland and Labrador,Division No.  7,Gambo,93.03,2072.0,1984.0,1978.0,1816.0
Newfoundland and Labrador,Division No.  7,Glovertown,69.85,2062.0,2122.0,2083.0,1948.0
Newfoundland and Labrador,Division No.  7,Greenspond,2.75,365.0,305.0,266.0,257.0
Newfoundland and Labrador,Division No.  7,Happy Adventure,9.62,227.0,219.0,200.0,118.0
Newfoundland and Labrador,Division No.  7,Hare Bay,34.11,1020.0,1031.0,969.0,925.0
Newfoundland and Labrador,Division No.  7,Indian Bay,86.49,196.0,174.0,175.0,172.0
Newfoundland and Labrador,Division No.  7,Keels,6.67,73.0,61.0,51.0,46.0
Newfoundland and Labrador,Division No.  7,King's Cove,21.44,121.0,111.0,90.0,75.0
Newfoundland and Labrador,Division No.  7,Musgravetown,13.49,583.0,556.0,564.0,561.0
Newfoundland and Labrador,Division No.  7,New-Wes-Valley,132.7,2485.0,2265.0,2172.0,2044.0
Newfoundland and Labrador,Division No.  7,Port Blandford,51.0,521.0,483.0,488.0,513.0
Newfoundland and Labrador,Division No.  7,Port Rexton,11.64,351.0,338.0,340.0,361.0
Newfoundland and Labrador,Division No.  7,Salvage,15.85,174.0,136.0,124.0,108.0
Newfoundland and Labrador,Division No.  7,Sandringham,9.57,255.0,274.0,229.0,205.0
Newfoundland and Labrador,Division No.  7,Sandy Cove,8.99,133.0,132.0,122.0,120.0
Newfoundland and Labrador,Division No.  7,St. Brendan's,9.76,203.0,147.0,145.0,125.0
Newfoundland and Labrador,Division No.  7,Terra Nova,2.44,68.0,83.0,73.0,99.0
Newfoundland and Labrador,Division No.  7,Traytown,13.3,302.0,283.0,267.0,279.0
Newfoundland and Labrador,Division No.  7,Trinity (Trinity Bay),12.92,191.0,137.0,169.0,76.0
Newfoundland and Labrador,Division No.  7,Trinity Bay North,26.19,1997.0,1827.0,1819.0,1649.0
Newfoundland and Labrador,Division No.  8,Baie Verte,371.37,1275.0,1370.0,1313.0,1311.0
Newfoundland and Labrador,Division No.  8,Baytona,15.15,276.0,264.0,262.0,251.0
Newfoundland and Labrador,Division No.  8,Beachside,2.58,183.0,150.0,132.0,97.0
Newfoundland and Labrador,Division No.  8,Birchy Bay,49.33,618.0,566.0,550.0,511.0
Newfoundland and Labrador,Division No.  8,Brent's Cove,1.02,204.0,181.0,157.0,119.0
Newfoundland and Labrador,Division No.  8,Brighton,2.26,203.0,171.0,188.0,163.0
Newfoundland and Labrador,Division No.  8,Burlington,4.09,376.0,349.0,314.0,304.0
Newfoundland and Labrador,Division No.  8,Campbellton,35.81,494.0,520.0,452.0,459.0
Newfoundland and Labrador,Division No.  8,Carmanville,42.68,753.0,737.0,740.0,784.0
Newfoundland and Labrador,Division No.  8,Change Islands,5.36,300.0,257.0,208.0,184.0
Newfoundland and Labrador,Division No.  8,Coachman's Cove,18.99,93.0,92.0,105.0,111.0
Newfoundland and Labrador,Division No.  8,Comfort Cove-Newstead,29.97,451.0,451.0,407.0,345.0
Newfoundland and Labrador,Division No.  8,Cottlesville,11.15,279.0,272.0,271.0,244.0
Newfoundland and Labrador,Division No.  8,Crow Head,3.03,205.0,203.0,177.0,156.0
Newfoundland and Labrador,Division No.  8,"Division No.  8, Subd. A",2270.17,540.0,352.0,317.0,386.0
Newfoundland and Labrador,Division No.  8,"Division No.  8, Subd. C",1213.88,376.0,527.0,440.0,563.0
Newfoundland and Labrador,Division No.  8,"Division No.  8, Subd. D",20.11,10.0,5.0,10.0,5.0
Newfoundland and Labrador,Division No.  8,"Division No.  8, Subd. E",707.99,698.0,537.0,548.0,496.0
Newfoundland and Labrador,Division No.  8,"Division No.  8, Subd. F",106.35,898.0,867.0,930.0,867.0
Newfoundland and Labrador,Division No.  8,"Division No.  8, Subd. G",521.39,600.0,452.0,433.0,409.0
Newfoundland and Labrador,Division No.  8,"Division No.  8, Subd. H",178.01,2139.0,2043.0,1900.0,1788.0
Newfoundland and Labrador,Division No.  8,"Division No.  8, Subd. I",8.97,210.0,211.0,216.0,163.0
Newfoundland and Labrador,Division No.  8,"Division No.  8, Subd. L",1315.12,3248.0,3105.0,3060.0,2772.0
Newfoundland and Labrador,Division No.  8,"Division No.  8, Subd. M",658.7,201.0,165.0,130.0,141.0
Newfoundland and Labrador,Division No.  8,"Division No.  8, Subd. O",409.66,353.0,330.0,309.0,275.0
Newfoundland and Labrador,Division No.  8,"Division No.  8, Subd. P",379.19,380.0,340.0,337.0,297.0
Newfoundland and Labrador,Division No.  8,Embree,18.35,703.0,691.0,701.0,679.0
Newfoundland and Labrador,Division No.  8,Fleur de Lys,39.54,320.0,265.0,244.0,207.0
Newfoundland and Labrador,Division No.  8,King's Point,45.72,670.0,675.0,659.0,653.0
